Company	Share Class	Number of Shares
BLACKSTONE GROUP LP	COM	60000
E TRADE FINANCIAL CORP	COM	615604
FINSERV INC	COM	186284
GREEN DOT CORP	CL A	371675
UNITI GROUP INC	COM	1757393
